Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
CASTELO BRANCO,Golegã,http://www.cm-golega.pt,https://arquivo.pt/wayback/http://www.cm-golega.pt,Golegã,https://www.facebook.com/MunicipiodaGolega/,,,,,,,,,,,
CASTELO BRANCO,Idanha-a-Nova,http://www.cm-idanhanova.pt,https://arquivo.pt/wayback/http://www.cm-idanhanova.pt,Idanha-a-Nova,https://www.facebook.com/MunicipioIdanhaNova/,,,,,,,,,,,
CASTELO BRANCO,Oleiros,http://www.cm-oleiros.pt/,https://arquivo.pt/wayback/http://www.cm-oleiros.pt/,Oleiros,https://www.facebook.com/municipiodeoleiros/,,,,,,,,,,,
CASTELO BRANCO,Penamacor,http://www.cm-penamacor.pt,https://arquivo.pt/wayback/http://www.cm-penamacor.pt,Penamacor,https://www.facebook.com/municipiopenamacor/,,,,,,,,,,,
CASTELO BRANCO,Proença-a-Nova,http://www.cm-proencanova.pt,https://arquivo.pt/wayback/http://www.cm-proencanova.pt,Proença-a-Nova,https://www.facebook.com/municipio.deproencaanova/,,,,,,,,,,,
CASTELO BRANCO,Sertã,http://www.cm-serta.pt,https://arquivo.pt/wayback/http://www.cm-serta.pt,Sertã,https://www.facebook.com/MunicipiodaSerta/,,,,,,,,,,,
CASTELO BRANCO,Vila de Rei,http://www.cm-viladerei.pt,https://arquivo.pt/wayback/http://www.cm-viladerei.pt,Vila de Rei,https://www.facebook.com/municipiodeviladerei/,,,,,,,,,,,
CASTELO BRANCO,Vila Velha de Ródão,http://www.cm-vvrodao.pt,https://arquivo.pt/wayback/http://www.cm-vvrodao.pt,Vila Velha de Ródão,https://www.facebook.com/municipiovvrodao/,,,,,,,,,,,
COIMBRA,Arganil,http://www.cm-arganil.pt,https://arquivo.pt/wayback/http://www.cm-arganil.pt,Arganil,https://www.facebook.com/municipioarganil/,,,,,,,,,,,
COIMBRA,Cantanhede,http://www.cantanhedeonline.pt,https://arquivo.pt/wayback/http://www.cantanhedeonline.pt,Cantanhede,https://www.facebook.com/Cantanhede-Convida-1674464909495026/,,,,,,,,,,,
COIMBRA,Coimbra,http://www.cm-coimbra.pt,https://arquivo.pt/wayback/http://www.cm-coimbra.pt,Coimbra,https://www.facebook.com/municipiodecoimbra/,,,,,,,,,,,
COIMBRA,Condeixa-a-Nova,http://www.cm-condeixa.pt,https://arquivo.pt/wayback/http://www.cm-condeixa.pt,Condeixa-a-Nova,https://www.facebook.com/CondeixaMunicipio/,,,,,,,,,,,
COIMBRA,Figueira da Foz,https://www.cm-figfoz.pt/,https://arquivo.pt/wayback/https://www.cm-figfoz.pt/,Figueira da Foz,https://www.facebook.com/municipio.figueiradafoz/ ,,,,,,,,,,,
COIMBRA,Góis,http://www.cm-gois.pt,https://arquivo.pt/wayback/http://www.cm-gois.pt,Góis,https://www.facebook.com/MUNICIPIODEGOIS/,,,,,,,,,,,
COIMBRA,Lousã,http://www.cm-lousa.pt,https://arquivo.pt/wayback/http://www.cm-lousa.pt,Lousã,https://www.facebook.com/municipiolousa/,,,,,,,,,,,
COIMBRA,Mira,http://www.cm-mira.pt,https://arquivo.pt/wayback/http://www.cm-mira.pt,Mira,https://www.facebook.com/municipiomira/,,,,,,,,,,,
COIMBRA,Miranda do Corvo,http://www.cm-mirandadocorvo.pt,https://arquivo.pt/wayback/http://www.cm-mirandadocorvo.pt,Miranda do Corvo,https://www.facebook.com/munmcv/,,,,,,,,,,,
COIMBRA,Montemor-o-Velho,http://www.cm-montemorvelho.pt,https://arquivo.pt/wayback/http://www.cm-montemorvelho.pt,Montemor-o-Velho,https://www.facebook.com/municipio.montemorvelho/,,,,,,,,,,,
COIMBRA,Oliveira do Hospital,http://www.cm-oliveiradohospital.pt,https://arquivo.pt/wayback/http://www.cm-oliveiradohospital.pt,Oliveira do Hospital,https://www.facebook.com/Munic%C3%ADpio-de-Oliveira-do-Hospital-146449585428013/,,,,,,,,,,,
COIMBRA,Pampilhosa da Serra,http://www.cm-pampilhosadaserra.pt,https://arquivo.pt/wayback/http://www.cm-pampilhosadaserra.pt,Pampilhosa da Serra,https://www.facebook.com/camaramunicipaldapampilhosadaserra/,,,,,,,,,,,
COIMBRA,Penacova,http://www.cm-penacova.pt,https://arquivo.pt/wayback/http://www.cm-penacova.pt,Penacova,https://www.facebook.com/municipiodepenacova/,,,,,,,,,,,
COIMBRA,Penela,http://www.cm-penela.pt,https://arquivo.pt/wayback/http://www.cm-penela.pt,Penela,https://www.facebook.com/municipiopenela.oficial/,,,,,,,,,,,
COIMBRA,Soure,http://www.cm-soure.pt,https://arquivo.pt/wayback/http://www.cm-soure.pt,Soure,https://www.facebook.com/MunicipiodeSoure/,,,,,,,,,,,
COIMBRA,Tábua,http://www.cm-tabua.pt,https://arquivo.pt/wayback/http://www.cm-tabua.pt,Tábua,https://www.facebook.com/municipiodetabua/,,,,,,,,,,,
COIMBRA,Vila Nova de Poiares,http://www.cm-vilanovadepoiares.pt,https://arquivo.pt/wayback/http://www.cm-vilanovadepoiares.pt,Vila Nova de Poiares,https://www.facebook.com/Munic%C3%ADpio-de-Vila-Nova-de-Poiares-226522714050372/,,,,,,,,,,,
ÉVORA,Alandroal,http://www.cm-alandroal.pt,https://arquivo.pt/wayback/http://www.cm-alandroal.pt,Alandroal,https://www.facebook.com/cmalandroal/,,,,,,,,,,,
ÉVORA,Arraiolos,http://www.cm-arraiolos.pt,https://arquivo.pt/wayback/http://www.cm-arraiolos.pt,Arraiolos,https://www.facebook.com/Câmara-Municipal-de-Arraiolos-560739920660358/,,,,,,,,,,,
ÉVORA,Borba,http://www.cm-borba.pt,https://arquivo.pt/wayback/http://www.cm-borba.pt,Borba,https://www.facebook.com/municipiodeborba/,,,,,,,,,,,
ÉVORA,Estremoz,http://www.cm-estremoz.pt,https://arquivo.pt/wayback/http://www.cm-estremoz.pt,Estremoz,https://www.facebook.com/municipioestremoz/,,,,,,,,,,,
ÉVORA,Évora,http://www.cm-evora.pt,https://arquivo.pt/wayback/http://www.cm-evora.pt,Évora,https://www.facebook.com/EvoraNoticias/,,,,,,,,,,,
